Number;Taxon;Age;Clade;Formation;Reference;FABL;CH;BW;ADL;PDL
a1259;Milk River cf. Richardoestesia gilmorei ant;Aquilan;Richardoestesia;Milk River;Larson 2008;1.48;3.12;0.96;0;0.098039216
a1260;Milk River cf. Richardoestesia gilmorei ant;Aquilan;Richardoestesia;Milk River;Larson 2008;3.735;6.806;1.82;;0.153846154
a1261;Milk River cf. Richardoestesia gilmorei ant;Aquilan;Richardoestesia;Milk River;Larson 2008;2.324;4.648;1.36;0;0.172413793
a1262;Milk River cf. Richardoestesia gilmorei ant;Aquilan;Richardoestesia;Milk River;Larson 2008;2.988;4.814;1.7;;0.166666667
a1263;Milk River cf. Richardoestesia gilmorei ant;Aquilan;Richardoestesia;Milk River;Larson 2008;1.6;2.6;0.84;0.094339623;0.097087379
a1264;Milk River cf. Richardoestesia gilmorei ant;Aquilan;Richardoestesia;Milk River;Larson 2008;2.8;4.5;1.2;0;0.125
a1265;Milk River cf. Richardoestesia gilmorei ant;Aquilan;Richardoestesia;Milk River;Larson 2008;2.2;4;1.6;0;0.125
a1266;Milk River cf. Richardoestesia gilmorei ant;Aquilan;Richardoestesia;Milk River;Larson 2008;;3.2;0.9;0;0.1
a1267;Milk River cf. Richardoestesia gilmorei ant;Aquilan;Richardoestesia;Milk River;Larson 2008;2.49;4.482;1.46;;0.169491525
a1268;Milk River cf. Richardoestesia gilmorei ant;Aquilan;Richardoestesia;Milk River;Larson 2008;3.3;5.8;1.4;0;0.125
a1269;Milk River cf. Richardoestesia gilmorei ant;Aquilan;Richardoestesia;Milk River;Larson 2008;1.64;2.68;0.9;;0.125
a1270;Milk River cf. Richardoestesia gilmorei ant;Aquilan;Richardoestesia;Milk River;Larson 2008;2.407;4.316;1.36;;0.111111111
a1271;Milk River cf. Richardoestesia gilmorei ant;Aquilan;Richardoestesia;Milk River;Larson 2008;2.241;5.229;1.26;;0.125
a1272;Milk River cf. Richardoestesia gilmorei pmx;Aquilan;Richardoestesia;Milk River;Larson 2008;2.12;;1.26;;0.166666667
a1273;Milk River cf. Richardoestesia gilmorei pmx;Aquilan;Richardoestesia;Milk River;Larson 2008;1.72;3.2;1.36;;0.136986301
a1274;Milk River cf. Richardoestesia gilmorei pmx;Aquilan;Richardoestesia;Milk River;Larson 2008;1.92;;1.12;;0.125
a1275;Milk River cf. Richardoestesia gilmorei pmx;Aquilan;Richardoestesia;Milk River;Larson 2008;3.08;;1.46;0.117647059;0.178571429
a1276;Milk River cf. Richardoestesia gilmorei pmx;Aquilan;Richardoestesia;Milk River;Larson 2008;2.6;;1.14;;0.142857143
a1277;Milk River cf. Richardoestesia gilmorei pmx;Aquilan;Richardoestesia;Milk River;Larson 2008;3.08;;1.56;;0.181818182
a1278;Milk River cf. Richardoestesia gilmorei pmx;Aquilan;Richardoestesia;Milk River;Larson 2008;2.4;3.72;1.84;0;0.1
