MARK ID;Biomechanical Group;SURFACE;VOLUME;MAXIMUM DEPTH;MEAN DEPTH;MAXIMUM LENGTH;MAXIMUM WIDTH;MAXIMUM DEPTH;AREA;WIDTH;ROUGHNESS;OPENING ANGLE;FLOOR RADIUS
DZHT2-7;Bone cruncher;1760000;125000000;175.67;71.2;1863.17;1101.92;186.25;118000;1135;3.67;155.58;1371.6
DZHT2-8;Bone cruncher;3120000;171000000;151.54;54.82;3334.27;1256.2;125.36;56400;1020;3.77;156.65;1386.74
DZHT2-9;Bone cruncher;5240000;468000000;241.37;89.31;3726.74;1837.28;211.74;140000;1470;10.39;159.24;3319.66
DZHT2-10;Bone cruncher;23700000;2700000000;247.59;113.96;12870.53;2549.76;248.31;210000;1905;15.48;156.36;2735.89
DZHT3-1A;Bone cruncher;1590000;75700000;121.62;47.47;2447.77;753.7;130.45;56400;925;6.63;152.9;977.39
DZHT3-1B;Bone cruncher;988000;35900000;93.13;36.32;1765.26;722.64;99.56;43200;925;3.1;163.85;3286.82
DZHT3-2;Bone cruncher;10600000;1320000000;382.43;124.51;5786.8;2716.25;321.21;287000;2370;8.13;127.42;5952.96
DZHT3-3;Bone cruncher;7160000;606000000;224.82;84.68;3901.92;3028.46;192.54;268000;3130;8.85;165.48;8736.59
DZHT3-4A;Bone cruncher;2550000;170000000;209.98;66.51;2229.3;1412.46;203.18;147000;1830;15.77;157.05;2811.31
DZHT3-4B;Bone cruncher;2890000;190000000;141.18;65.68;3135.52;1249.03;151.51;115000;1605;5.38;160.39;2347.3
DZHT3-5;Bone cruncher;6100000;1070000000;359.3;175.83;3189.35;2273.81;367.06;471000;2820;8.39;147.86;2906.18
DZHT3-7A;Bone cruncher;2970000;426000000;316.66;143.5;2242.34;1411.86;339.8;286000;1810;10.47;144.17;1637.59
DZHT3-7B;Bone cruncher;1380000;56100000;93.05;40.5;1507.17;1520.08;86.55;41700;1015;4.58;164.61;2089.81
A1;Flesh Slicer;2150000;58900000;73.97;27.36;2451.92;766.84;65.85;20000;835;3.05;165.05;1767.36
A2;Flesh Slicer;5530000;345000000;128.78;62.4;5537.56;1395.55;75.02;51600;1480;3.46;171.73;5806.12
A3;Flesh Slicer;4570000;229000000;132.61;50.01;5479.61;1095.6;82.64;31800;800;3.83;165.72;2102.62
B1;Flesh Slicer;2110000;45000000;66.08;21.33;9083.3;407.91;56.47;13100;490;2.39;156.77;2015.21
B2;Flesh Slicer;2490000;52600000;57.63;21.08;6235.34;578.13;51.74;13600;500;2.4;161.33;830.4
C1;Flesh Slicer;1550000;39900000;85.74;25.77;3030.01;625.59;96.91;36700;725;3.67;150.74;866.78
C2;Flesh Slicer;332000;16500000;100.26;49.62;801.1;475.14;104.41;29800;520;5;138.32;388.19
E1;Flesh Slicer;1470000;26800000;56.77;18.27;3500.72;567.67;52.85;16500;580;2.97;160.27;893.37
E2;Flesh Slicer;1900000;40800000;78.6;21.46;4685.78;515.8;70.17;16300;455;1.92;147.15;426.64
E3;Flesh Slicer;3110000;65100000;64.77;20.9;7513.43;953.56;73.59;37900;855;3.02;165.26;1775.78
I1;Flesh Slicer;1650000;33800000;66.68;20.45;3066.75;853.44;77.29;23000;580;3.52;143.26;840.31
J1;Flesh Slicer;8100000;377000000;175.58;46.52;9062.31;1123.9;200.6;103000;1160;5.9;142.54;1030.48
J2;Flesh Slicer;6730000;536000000;201.39;79.67;7024.37;1387.35;205.29;156000;1250;4.36;147.53;1170.37
K1;Flesh Slicer;1210000;86200000;160.06;71.36;1851.2;1017.51;163.52;106000;1050;6.08;150.19;1142.23
K2;Flesh Slicer;1340000;25700000;67.96;19.25;3278.61;662.68;70.61;22700;545;4.13;160.71;835.02
L1;Flesh Slicer;6440000;452000000;219.71;70.19;7395.96;1288.27;226.7;126000;1295;5.32;138.16;993.66
N1;Flesh Slicer;2690000;85600000;89.05;31.81;6043.11;815.13;85.3;34900;695;1.51;154.21;807.87
N2;Flesh Slicer;3940000;97900000;91.52;24.85;7946.21;762.06;84.9;34300;745;2.78;150.24;770.89
N3;Flesh Slicer;4980000;185000000;105.37;37.08;6877.84;916.79;115.47;51200;1200;2.33;154.49;2032.16
O1;Flesh Slicer;2110000;76000000;84.27;35.99;4338.88;561.9;50.57;15600;550;2.09;162.91;1046.11
O2;Flesh Slicer;4260000;120000000;74.41;28.27;6161.08;864.36;56.93;26700;905;3.43;168.55;4416.67
O3;Flesh Slicer;3020000;138000000;147.45;45.7;5533.27;964.82;162.35;72400;1135;5.28;158.27;1667.4
O4;Flesh Slicer;9060000;724000000;206.98;79.1;7922.34;1944.66;231.14;134000;1270;6.41;143.93;1071.72
O5;Flesh Slicer;1030000;90300000;234.7;87.71;1218.44;1147.91;256.81;173000;1325;5.28;141.58;1159.03
P1;Flesh Slicer;3000000;288000000;225.69;96.03;4861.98;1185.5;237.56;167000;1345;3.67;146.29;1121.4
P2;Flesh Slicer;3920000;437000000;246.61;11.46;5278.23;1009.86;206.73;110000;975;6.05;149.17;938.15
Q1;Flesh Slicer;10900000;2410000000;460.43;220.18;6948.7;2481.36;410.37;452000;2185;19.43;139.72;1851.4
S1;Flesh Slicer;2670000;187000000;167.48;69.88;3090.43;1194;168.61;113000;1205;3.27;149.78;1255.65
S2;Flesh Slicer;1150000;81400000;165.55;10.66;1105.91;1310.29;165.28;127000;1335;5.24;149.55;1776.02
DZL1-1;Flesh Slicer;1040000;104000000;237.25;100.27;1331.03;1077.22;219.77;89900;810;12.43;110.03;436.01
DZL1-4;Flesh Slicer;2110000;60000000;77.68;28.49;3602.8;873.19;77.92;20700;625;3.38;163.96;1087.42
DZL1-6;Flesh Slicer;4280000;264000000;170.91;61.7;6679.88;1275.09;143.19;62000;1070;4.68;148.05;1411.68
DZL1-7A;Flesh Slicer;284000;6230000;54.3;21.95;630.4;536.82;53.17;13600;480;1.86;153.69;775.18
DZL1-7B;Flesh Slicer;330000;8560000;73.38;25.93;847.57;480.53;78.08;22000;480;1.37;147.77;501.45
DZL1-7C;Flesh Slicer;2990000;97400000;101.19;32.56;5391.34;640.49;99.26;34700;775;4.18;156.95;1017.64
DZL1-7D;Flesh Slicer;806000;24000000;76.72;29.74;1857.38;698.64;73.16;25700;775;2.16;160.06;1282.34
DZL1-7E;Flesh Slicer;663000;18100000;67.38;27.31;1211.38;591.84;70.38;27300;715;1.85;158.21;1240.77
DZL1-10;Flesh Slicer;2040000;32400000;58.21;15.93;3840.83;600.17;65.14;18800;780;3.76;161.67;1591.91
DZL2-3;Flesh Slicer;2220000;60400000;74.5;29.57;3852.22;912.57;81.24;20800;655;3.85;183.15;1182.34
DZL3-2;Flesh Slicer;189000;4650000;76.11;24.57;503.24;403.86;78.43;14700;430;1.47;141.96;368.14
DZL3-3;Flesh Slicer;186000;5050000;67.6;27.15;544.06;500;65.35;15300;395;1.25;141.31;330.08
DZL3-4;Flesh Slicer;918000;15100000;54.55;16.42;1972.41;585.02;25.74;1370;440;1.43;163.97;17847.49
DZL3-5B;Flesh Slicer;622000;11700000;48.84;18.8;2596.23;359.96;44;6500;330;1.22;145.63;310.23
